timestamp,health.motorVarXM4,health.motorVarYM4,health.motorPass,health.batterySag,health.batteryPass,health.motorTestCount
2166343,0.0,0.0,0,0.0,0,0
2166443,0.0,0.0,0,0.0,0,0
2166543,0.0,0.0,0,0.0,0,0
2166643,0.0,0.0,0,0.0,0,0
2166743,0.0,0.0,0,0.0,0,0
2166843,0.0,0.0,0,0.0,0,0
2166943,0.0,0.0,0,0.0,0,0
2167043,0.0,0.0,0,0.0,0,0
2167143,0.0,0.0,0,0.0,0,0
2167243,0.0,0.0,0,0.0,0,0
2167343,0.0,0.0,0,0.0,0,0
2167443,0.0,0.0,0,0.0,0,0
2167543,0.0,0.0,0,0.0,0,0
2167643,0.0,0.0,0,0.0,0,0
2167743,0.0,0.0,0,0.0,0,0
2167843,0.0,0.0,0,0.0,0,0
2167943,0.0,0.0,0,0.0,0,0
2168043,0.0,0.0,0,0.0,0,0
2168143,0.0,0.0,0,0.0,0,0
2168243,0.0,0.0,0,0.0,0,0
2168343,0.0,0.0,0,0.0,0,0
2168443,0.0,0.0,0,0.0,0,0
2168543,0.0,0.0,0,0.0,0,0
2168643,0.0,0.0,0,0.0,0,0
2168743,0.0,0.0,0,0.0,0,0
2168843,0.0,0.0,0,0.0,0,0
2168943,0.0,0.0,0,0.0,0,0
2169043,0.0,0.0,0,0.0,0,0
2169143,0.0,0.0,0,0.0,0,0
2169243,0.0,0.0,0,0.0,0,0
2169343,0.0,0.0,0,0.0,0,0
2169443,0.0,0.0,0,0.0,0,0
2169543,0.0,0.0,0,0.0,0,0
2169643,0.0,0.0,0,0.0,0,0
2169743,0.0,0.0,0,0.0,0,0
2169843,0.0,0.0,0,0.0,0,0
2169943,0.0,0.0,0,0.0,0,0
2170043,0.0,0.0,0,0.0,0,0
2170143,0.0,0.0,0,0.0,0,0
2170243,0.0,0.0,0,0.0,0,0
2170343,0.0,0.0,0,0.0,0,0
2170443,0.0,0.0,0,0.0,0,0
2170545,0.0,0.0,0,0.0,0,0
2170645,0.0,0.0,0,0.0,0,0
2170745,0.0,0.0,0,0.0,0,0
2170845,0.0,0.0,0,0.0,0,0
2170945,0.0,0.0,0,0.0,0,0
2171044,0.0,0.0,0,0.0,0,0
2171144,0.0,0.0,0,0.0,0,0
2171244,0.0,0.0,0,0.0,0,0
2171344,0.0,0.0,0,0.0,0,0
2171444,0.0,0.0,0,0.0,0,0
2171544,0.0,0.0,0,0.0,0,0
2171644,0.0,0.0,0,0.0,0,0
2171744,0.0,0.0,0,0.0,0,0
2171844,0.0,0.0,0,0.0,0,0
2171944,0.0,0.0,0,0.0,0,0
2172044,0.0,0.0,0,0.0,0,0
2172144,0.0,0.0,0,0.0,0,0
2172243,0.0,0.0,0,0.0,0,0
2172343,0.0,0.0,0,0.0,0,0
2172443,0.0,0.0,0,0.0,0,0
2172543,0.0,0.0,0,0.0,0,0
2172643,0.0,0.0,0,0.0,0,0
2172743,0.0,0.0,0,0.0,0,0
2172843,0.0,0.0,0,0.0,0,0
2172943,0.0,0.0,0,0.0,0,0
2173043,0.0,0.0,0,0.0,0,0
2173144,0.0,0.0,0,0.0,0,0
2173243,0.0,0.0,0,0.0,0,0
2173343,0.0,0.0,0,0.0,0,0
2173443,0.0,0.0,0,0.0,0,0
2173543,0.0,0.0,0,0.0,0,0
2173645,0.0,0.0,0,0.0,0,0
2173745,0.0,0.0,0,0.0,0,0
2173843,0.0,0.0,0,0.0,0,0
2173943,0.0,0.0,0,0.0,0,0
2174043,0.0,0.0,0,0.0,0,0
2174143,0.0,0.0,0,0.0,0,0
2174243,0.0,0.0,0,0.0,0,0
2174343,0.0,0.0,0,0.0,0,0
2174443,0.0,0.0,0,0.0,0,0
2174543,0.0,0.0,0,0.0,0,0
2174643,0.0,0.0,0,0.0,0,0
2174743,0.0,0.0,0,0.0,0,0
2174843,0.0,0.0,0,0.0,0,0
2174943,0.0,0.0,0,0.0,0,0
2175043,0.0,0.0,0,0.0,0,0
2175143,0.0,0.0,0,0.0,0,0
